grid_ID,Y_centroid_UTM_lat,X_centroid_UTM_lon,sst_clim,chlor_clim,bath,bath_buff_500
45,6297035.021,524488.5633,7.591190815,5.775695801,-844,-844
46,6297035.021,525713.5633,7.568737507,6.641794682,-809,-804
47,6297035.021,526938.5633,7.568737507,6.641794682,-739,-739
48,6297035.021,528163.5633,7.568737507,6.641794682,-605,-605
49,6297035.021,529388.5633,7.568737507,6.641794682,-488,-488
50,6297035.021,530613.5633,7.492274284,13.70367718,-330,-330
51,6297035.021,531838.5633,7.492274284,13.70367718,-337,-337
52,6297035.021,533063.5633,7.492274284,13.70367718,-286,-262
53,6297035.021,534288.5633,7.492274284,13.70367718,-137,-137
54,6297035.651,535431.8357,7.492274284,13.70367718,-10,-10
55,6297849.515,520111.0275,7.385579586,3.805725098,6,6
56,6297674.722,520818.0691,7.591190815,5.775695801,-250,-327.5
57,6297673.021,522038.5633,7.591190815,5.775695801,-702,-631
58,6297673.021,523263.5633,7.591190815,5.775695801,-826,-836.5
59,6297673.021,524488.5633,7.591190815,5.775695801,-836,-840
60,6297673.021,525713.5633,7.568737507,6.641794682,-799,-799
61,6297673.021,526938.5633,7.568737507,6.641794682,-728,-707.5
62,6297673.021,528163.5633,7.568737507,6.641794682,-597,-617.5
63,6297673.021,529388.5633,7.568737507,6.641794682,-475,-450
64,6297673.021,530613.5633,7.492274284,13.70367718,-342,-355.5
65,6297673.021,531838.5633,7.492274284,13.70367718,-307,-297
66,6297673.021,533063.5633,7.492274284,13.70367718,-198,-223.5
67,6297673.021,534288.5633,7.492274284,13.70367718,-87,-115.5
68,6297663.764,535433.9134,7.492274284,13.70367718,1,51
69,6298382.726,519867.7208,7.385579586,3.805725098,-195,-96.5
70,6298311.021,520813.5633,7.591190815,5.775695801,-347,-412
71,6298311.021,522038.5633,7.591190815,5.775695801,-753,-685
72,6298311.021,523263.5633,7.591190815,5.775695801,-832,-840.5
73,6298311.021,524488.5633,7.591190815,5.775695801,-831,-836
74,6298311.021,525713.5633,7.568737507,6.641794682,-793,-778
75,6298311.021,526938.5633,7.568737507,6.641794682,-730,-712
76,6298311.021,528163.5633,7.568737507,6.641794682,-610,-631
77,6298311.021,529388.5633,7.568737507,6.641794682,-501,-468
78,6298311.021,530613.5633,7.492274284,13.70367718,-330,-342.5
79,6298311.021,531838.5633,7.492274284,13.70367718,-290,-279
80,6298311.021,533063.5633,7.492274284,13.70367718,-168,-198
81,6298311.021,534288.5633,7.492274284,13.70367718,-39,-39
82,6298306.643,535313.1701,7.492274284,13.70367718,15,15
83,6298950.25,519700.009,7.150177002,1.584679961,-152,-152
84,6298949.021,520813.5633,7.495087624,5.805426598,-395,-459
85,6298949.021,522038.5633,7.495087624,5.805426598,-742,-742
86,6298949.021,523263.5633,7.495087624,5.805426598,-818,-818
87,6298949.021,524488.5633,7.495087624,5.805426598,-822,-822
88,6298949.021,525713.5633,7.595879555,5.912423134,-791,-791
89,6298949.021,526938.5633,7.595879555,5.912423134,-738,-738
90,6298949.021,528163.5633,7.595879555,5.912423134,-632,-621
91,6298949.021,529388.5633,7.595879555,5.912423134,-543,-522
92,6298949.021,530613.5633,7.471311092,5.736412525,-356,-343
93,6298949.021,531838.5633,7.492274284,13.70367718,-290,-293.5
94,6298949.021,533063.5633,7.492274284,13.70367718,-168,-168
95,6298949.021,534288.5633,7.492274284,13.70367718,-39,-48.5
96,6298934.398,535285.8301,7.492274284,13.70367718,15,15
97,6299697.746,518439.661,7.150177002,1.584679961,40,40
98,6299596.261,519612.9075,7.150177002,1.584679961,-152,-152
99,6299587.021,520813.5633,7.495087624,5.805426598,-395,-459
100,6299587.021,522038.5633,7.495087624,5.805426598,-742,-695.5
101,6299587.021,523263.5633,7.495087624,5.805426598,-818,-825
102,6299587.021,524488.5633,7.495087624,5.805426598,-822,-826
103,6299587.021,525713.5633,7.595879555,5.912423134,-791,-791
104,6299587.021,526938.5633,7.595879555,5.912423134,-738,-722.5
105,6299587.021,528163.5633,7.595879555,5.912423134,-632,-652.5
106,6299587.021,529388.5633,7.595879555,5.912423134,-543,-510.5
107,6299587.021,530613.5633,7.471311092,5.736412525,-356,-370.5
108,6299587.021,531838.5633,7.471311092,5.736412525,-297,-283.5
109,6299587.021,533063.5633,7.471311092,5.736412525,-187,-211
110,6299587.021,534288.5633,7.471311092,5.736412525,-58,-58
111,6299601.986,535241.3008,7.471311092,5.736412525,17,-3.5
112,6300534.566,516516.9941,7.150177002,1.584679961,102,102
113,6300385.576,517288.2266,7.150177002,1.584679961,32,43
114,6300189.411,518387.8339,7.150177002,1.584679961,-25,-2.5
115,6300225.021,519588.5633,7.150177002,1.584679961,-163,-229
116,6300225.021,520813.5633,7.495087624,5.805426598,-436,-496.5
117,6300225.021,522038.5633,7.495087624,5.805426598,-743,-702.5
118,6300225.021,523263.5633,7.495087624,5.805426598,-809,-815
119,6300225.021,524488.5633,7.495087624,5.805426598,-816,-818.5
120,6300225.021,525713.5633,7.595879555,5.912423134,-791,-781.5
121,6300225.021,526938.5633,7.595879555,5.912423134,-750,-736.5
122,6300225.021,528163.5633,7.595879555,5.912423134,-654,-675.5
123,6300225.021,529388.5633,7.595879555,5.912423134,-593,-573
124,6300225.021,530613.5633,7.471311092,5.736412525,-403,-443.5
125,6300225.021,531838.5633,7.471311092,5.736412525,-306,-293
126,6300225.021,533063.5633,7.471311092,5.736412525,-222,-237.5
127,6300225.021,534288.5633,7.471311092,5.736412525,-65,-65
128,6300240.146,535365.9573,7.471311092,5.736412525,4,34
129,6300296.705,539667.7121,7.060805321,1.272760034,-2,4.5
130,6300960.671,516312.6446,7.150177002,1.584679961,26,22
131,6300848.156,517097.5274,7.150177002,1.584679961,64,64
132,6300821.588,518721.5617,7.150177002,1.584679961,3,3
133,6300863.021,519588.5633,7.150177002,1.584679961,-165,-165
134,6300863.021,520813.5633,7.495087624,5.805426598,-501,-549.5
135,6300863.021,522038.5633,7.495087624,5.805426598,-763,-763
136,6300863.021,523263.5633,7.495087624,5.805426598,-808,-808
137,6300863.021,524488.5633,7.495087624,5.805426598,-812,-812
138,6300863.021,525713.5633,7.595879555,5.912423134,-792,-792
139,6300863.021,526938.5633,7.595879555,5.912423134,-734,-746.5
140,6300863.021,528163.5633,7.595879555,5.912423134,-663,-663
141,6300863.021,529388.5633,7.595879555,5.912423134,-582,-582
142,6300863.021,530613.5633,7.471311092,5.736412525,-380,-380
143,6300863.021,531838.5633,7.471311092,5.736412525,-302,-302
144,6300863.021,533063.5633,7.471311092,5.736412525,-242,-242
145,6300863.021,534288.5633,7.471311092,5.736412525,-117,-91
146,6300871.552,535487.4239,7.471311092,5.736412525,-24,-24
147,6301115.711,536238.8596,7.060805321,1.272760034,37,21.5
148,6300866.605,539647.9528,7.060805321,1.272760034,-2,-2
149,6301737.92,514895.2822,NA,NA,65,65
150,6301516.506,515974.2312,7.150177002,1.584679961,18,18
151,6301337.01,516886.6257,7.150177002,1.584679961,64,45
152,6301544.136,518577.3064,7.150177002,1.584679961,3,3
153,6301501.021,519588.5633,7.150177002,1.584679961,-165,-165
154,6301501.021,520813.5633,7.495087624,5.805426598,-501,-549.5
155,6301501.021,522038.5633,7.495087624,5.805426598,-763,-763
156,6301501.021,523263.5633,7.495087624,5.805426598,-808,-813
157,6301501.021,524488.5633,7.495087624,5.805426598,-812,-814
158,6301501.021,525713.5633,7.595879555,5.912423134,-792,-792
159,6301501.021,526938.5633,7.595879555,5.912423134,-734,-746.5
160,6301501.021,528163.5633,7.595879555,5.912423134,-663,-663
161,6301501.021,529388.5633,7.595879555,5.912423134,-582,-555.5
162,6301501.021,530613.5633,7.471311092,5.736412525,-380,-421.5
163,6301501.021,531838.5633,7.471311092,5.736412525,-302,-291.5
164,6301501.021,533063.5633,7.471311092,5.736412525,-242,-252
165,6301501.021,534288.5633,7.471311092,5.736412525,-117,-117
166,6301501.021,535513.5633,7.471311092,5.736412525,-24,-9
167,6301561.436,536609.9372,7.060805321,1.272760034,47,42
168,6301645.451,537918.4898,7.060805321,1.272760034,20,20
169,6301557.643,539426.9352,7.060805321,1.272760034,-2,-2
170,6302259.517,513792.8052,NA,NA,43,54.5
171,6302042.68,514588.2632,NA,NA,113,89
172,6301888.671,515506.8816,7.150177002,1.584679961,89,89
173,6302101.653,518663.2205,7.150177002,1.584679961,1,-48
174,6302139.021,519588.5633,7.150177002,1.584679961,-184,-266.5
175,6302139.021,520813.5633,7.495087624,5.805426598,-508,-562.5
176,6302139.021,522038.5633,7.495087624,5.805426598,-758,-727
177,6302139.021,523263.5633,7.495087624,5.805426598,-805,-808.5
178,6302139.021,524488.5633,7.495087624,5.805426598,-807,-809
179,6302139.021,525713.5633,7.595879555,5.912423134,-790,-784
180,6302139.021,526938.5633,7.595879555,5.912423134,-737,-749.5
181,6302139.021,528163.5633,7.595879555,5.912423134,-661,-685.5
182,6302139.021,529388.5633,7.595879555,5.912423134,-539,-513
183,6302139.021,530613.5633,7.471311092,5.736412525,-362,-394
184,6302139.021,531838.5633,7.471311092,5.736412525,-293,-285
185,6302139.021,533063.5633,7.471311092,5.736412525,-243,-252.5
186,6302139.021,534288.5633,7.471311092,5.736412525,-157,-157
187,6302139.021,535513.5633,7.471311092,5.736412525,-72,-55
188,6302139.021,536738.5633,7.060805321,1.272760034,1,-6.5
189,6302147.218,537952.301,7.060805321,1.272760034,6,4
190,6302139.048,539188.6146,7.060805321,1.272760034,1,-1.5
191,6302941.013,512739.8178,NA,NA,20,27
192,6302771.524,513307.5837,NA,NA,121,70.5
193,6302814.29,518694.0089,7.150177002,1.584679961,-21,-61.5
194,6302777.021,519588.5633,7.150177002,1.584679961,-230,-230
195,6302777.021,520813.5633,7.495087624,5.805426598,-536,-584.5
196,6302777.021,522038.5633,7.495087624,5.805426598,-768,-768
197,6302777.021,523263.5633,7.495087624,5.805426598,-807,-809
198,6302777.021,524488.5633,7.495087624,5.805426598,-804,-806
199,6302777.021,525713.5633,7.595879555,5.912423134,-787,-787
200,6302777.021,526938.5633,7.595879555,5.912423134,-734,-748.5
201,6302777.021,528163.5633,7.595879555,5.912423134,-656,-656
202,6302777.021,529388.5633,7.595879555,5.912423134,-515,-484
203,6302777.021,530613.5633,7.471311092,5.736412525,-333,-333
204,6302777.021,531838.5633,7.471311092,5.736412525,-278,-278
205,6302777.021,533063.5633,7.471311092,5.736412525,-252,-258
206,6302777.021,534288.5633,7.471311092,5.736412525,-199,-199
207,6302777.021,535513.5633,7.471311092,5.736412525,-117,-97.5
208,6302777.021,536738.5633,7.060805321,1.272760034,-28,-28
209,6302777.021,537963.5633,7.060805321,1.272760034,-29,-29
210,6302777.021,539188.5633,7.060805321,1.272760034,-2,-2
211,6303097.579,513347.8945,NA,NA,121,70.5
212,6303434.899,518513.2345,7.150177002,1.584679961,-21,-21
213,6303415.021,519588.5633,7.150177002,1.584679961,-230,-230
214,6303415.021,520813.5633,7.495087624,5.805426598,-536,-584.5
215,6303415.021,522038.5633,7.495087624,5.805426598,-768,-768
216,6303415.021,523263.5633,7.495087624,5.805426598,-807,-809
217,6303415.021,524488.5633,7.495087624,5.805426598,-804,-806
218,6303415.021,525713.5633,7.595879555,5.912423134,-787,-787
219,6303415.021,526938.5633,7.595879555,5.912423134,-734,-748.5
220,6303415.021,528163.5633,7.595879555,5.912423134,-656,-656
221,6303415.021,529388.5633,7.595879555,5.912423134,-515,-484
222,6303415.021,530613.5633,7.471311092,5.736412525,-333,-362
223,6303415.021,531838.5633,7.471311092,5.736412525,-278,-278
224,6303415.021,533063.5633,7.471311092,5.736412525,-252,-258
225,6303415.021,534288.5633,7.471311092,5.736412525,-199,-199
226,6303415.021,535513.5633,7.471311092,5.736412525,-117,-97.5
227,6303415.021,536738.5633,7.060805321,1.272760034,-28,-39.5
228,6303415.021,537963.5633,7.060805321,1.272760034,-29,-13.5
229,6303415.021,539188.5633,7.060805321,1.272760034,-2,-5.5
230,6303963.765,518624.7836,7.358822346,5.813364983,1,-79
231,6304053.021,519588.5633,7.358822346,5.813364983,-281,-360.5
232,6304053.021,520813.5633,7.477543831,5.223338127,-593,-627.5
233,6304053.021,522038.5633,7.477543831,5.223338127,-792,-759
234,6304053.021,523263.5633,7.477543831,5.223338127,-810,-811.5
235,6304053.021,524488.5633,7.477543831,5.223338127,-799,-802
236,6304053.021,525713.5633,7.536188126,5.826029778,-781,-774
237,6304053.021,526938.5633,7.536188126,5.826029778,-701,-719
238,6304053.021,528163.5633,7.536188126,5.826029778,-601,-634.5
239,6304053.021,529388.5633,7.536188126,5.826029778,-485,-450.5
240,6304053.021,530613.5633,7.295269966,5.982833385,-303,-329
241,6304053.021,531838.5633,7.295269966,5.982833385,-269,-269
242,6304053.021,533063.5633,7.295269966,5.982833385,-265,-266.5
243,6304053.021,534288.5633,7.295269966,5.982833385,-241,-241
244,6304053.021,535513.5633,7.295269966,5.982833385,-159,-135
245,6304053.021,536738.5633,6.748994827,4.804764748,-58,-71.5
246,6304053.021,537963.5633,6.748994827,4.804764748,-30,-21.5
247,6304053.021,539188.5633,6.748994827,4.804764748,4,-1.5
248,6304659.972,518809.7984,7.358822346,5.813364983,-234,-113
249,6304691.021,519588.5633,7.358822346,5.813364983,-364,-364
250,6304691.021,520813.5633,7.477543831,5.223338127,-600,-634.5
251,6304691.021,522038.5633,7.477543831,5.223338127,-770,-770
252,6304691.021,523263.5633,7.477543831,5.223338127,-798,-799.5
253,6304691.021,524488.5633,7.477543831,5.223338127,-788,-791.5
254,6304691.021,525713.5633,7.536188126,5.826029778,-763,-763
255,6304691.021,526938.5633,7.536188126,5.826029778,-648,-674
256,6304691.021,528163.5633,7.536188126,5.826029778,-521,-521
257,6304691.021,529388.5633,7.536188126,5.826029778,-415,-390.5
258,6304691.021,530613.5633,7.295269966,5.982833385,-293,-308.5
259,6304691.021,531838.5633,7.295269966,5.982833385,-271,-271
260,6304691.021,533063.5633,7.295269966,5.982833385,-274,-273.5
261,6304691.021,534288.5633,7.295269966,5.982833385,-262,-262
262,6304691.021,535513.5633,7.295269966,5.982833385,-202,-181.5
263,6304691.021,536738.5633,6.748994827,4.804764748,-88,-88
264,6304691.021,537963.5633,6.748994827,4.804764748,-38,-38
265,6304691.021,539188.5633,6.748994827,4.804764748,3,-3
266,6305307.025,518901.2907,7.358822346,5.813364983,-234,-234
267,6305329.021,519588.5633,7.358822346,5.813364983,-364,-364
268,6305329.021,520813.5633,7.477543831,5.223338127,-600,-634.5
269,6305329.021,522038.5633,7.477543831,5.223338127,-770,-770
270,6305329.021,523263.5633,7.477543831,5.223338127,-798,-798
271,6305329.021,524488.5633,7.477543831,5.223338127,-788,-788
272,6305329.021,525713.5633,7.536188126,5.826029778,-763,-763
273,6305329.021,526938.5633,7.536188126,5.826029778,-648,-674
274,6305329.021,528163.5633,7.536188126,5.826029778,-521,-521
275,6305329.021,529388.5633,7.536188126,5.826029778,-415,-390.5
276,6305329.021,530613.5633,7.295269966,5.982833385,-293,-293
277,6305329.021,531838.5633,7.295269966,5.982833385,-271,-271
278,6305329.021,533063.5633,7.295269966,5.982833385,-274,-273.5
279,6305329.021,534288.5633,7.295269966,5.982833385,-262,-262
280,6305329.021,535513.5633,7.295269966,5.982833385,-202,-181.5
281,6305329.021,536738.5633,6.748994827,4.804764748,-88,-88
282,6305329.021,537963.5633,6.748994827,4.804764748,-38,-29.5
283,6305329.021,539188.5633,6.748994827,4.804764748,3,-3
284,6306052.249,518830.8323,7.358822346,5.813364983,-316,-147.5
285,6305967.021,519588.5633,7.358822346,5.813364983,-442,-488
286,6305967.021,520813.5633,7.477543831,5.223338127,-676,-649.5
287,6305967.021,522038.5633,7.477543831,5.223338127,-756,-737.5
288,6305967.021,523263.5633,7.477543831,5.223338127,-785,-787.5
289,6305967.021,524488.5633,7.477543831,5.223338127,-774,-778
290,6305967.021,525713.5633,7.536188126,5.826029778,-742,-729
291,6305967.021,526938.5633,7.536188126,5.826029778,-583,-621
292,6305967.021,528163.5633,7.536188126,5.826029778,-425,-425
293,6305967.021,529388.5633,7.536188126,5.826029778,-336,-320
294,6305967.021,530613.5633,7.295269966,5.982833385,-274,-280
295,6305967.021,531838.5633,7.295269966,5.982833385,-270,-271.5
296,6305967.021,533063.5633,7.295269966,5.982833385,-284,-281
297,6305967.021,534288.5633,7.295269966,5.982833385,-287,-283
298,6305967.021,535513.5633,7.295269966,5.982833385,-246,-228
299,6305967.021,536738.5633,6.748994827,4.804764748,-127,-148
300,6305967.021,537963.5633,6.748994827,4.804764748,-57,-46
301,6305967.021,539188.5633,6.748994827,4.804764748,2,-5.5
302,6306612.23,518708.1985,7.358822346,5.813364983,1,-167
303,6306605.021,519588.5633,7.358822346,5.813364983,-472,-517
304,6306605.021,520813.5633,7.477543831,5.223338127,-683,-660.5
305,6306605.021,522038.5633,7.477543831,5.223338127,-744,-730.5
306,6306605.021,523263.5633,7.477543831,5.223338127,-772,-774.5
307,6306605.021,524488.5633,7.477543831,5.223338127,-753,-758.5
308,6306605.021,525713.5633,7.536188126,5.826029778,-706,-689.5
309,6306605.021,526938.5633,7.536188126,5.826029778,-452,-507.5
310,6306605.021,528163.5633,7.536188126,5.826029778,-307,-307
311,6306605.021,529388.5633,7.536188126,5.826029778,-235,-234
312,6306605.021,530613.5633,7.295269966,5.982833385,-244,-239
313,6306605.021,531838.5633,7.295269966,5.982833385,-263,-268
314,6306605.021,533063.5633,7.295269966,5.982833385,-288,-285
315,6306605.021,534288.5633,7.295269966,5.982833385,-297,-297
316,6306605.021,535513.5633,7.295269966,5.982833385,-279,-268
317,6306605.021,536738.5633,6.748994827,4.804764748,-173,-173
318,6306605.021,537963.5633,6.748994827,4.804764748,-97,-81
319,6306605.021,539188.5633,6.748994827,4.804764748,-34,-34
320,6307488.984,517256.5027,6.25199604,NA,25,29.5
321,6307297.04,518544.4709,7.358822346,5.813364983,-216,-216
322,6307243.021,519588.5633,7.358822346,5.813364983,-498,-485
323,6307243.021,520813.5633,7.477543831,5.223338127,-693,-693
324,6307243.021,522038.5633,7.477543831,5.223338127,-740,-742
325,6307243.021,523263.5633,7.477543831,5.223338127,-772,-764.5
326,6307243.021,524488.5633,7.477543831,5.223338127,-753,-735.5
327,6307243.021,525713.5633,7.536188126,5.826029778,-706,-668
328,6307243.021,526938.5633,7.536188126,5.826029778,-452,-452
329,6307243.021,528163.5633,7.536188126,5.826029778,-307,-264
330,6307243.021,529388.5633,7.536188126,5.826029778,-235,-235
331,6307243.021,530613.5633,7.295269966,5.982833385,-244,-244
332,6307243.021,531838.5633,7.295269966,5.982833385,-263,-263
333,6307243.021,533063.5633,7.295269966,5.982833385,-288,-288
334,6307243.021,534288.5633,7.295269966,5.982833385,-297,-297
335,6307243.021,535513.5633,7.295269966,5.982833385,-279,-268
336,6307243.021,536738.5633,6.748994827,4.804764748,-173,-173
337,6307243.021,537963.5633,6.748994827,4.804764748,-97,-81
338,6307243.021,539188.5633,6.748994827,4.804764748,-34,-34
339,6308155.159,516514.6218,6.697955132,NA,15,20
340,6307893.127,517163.9163,6.25199604,NA,34,29.5
341,6307881.021,518363.5633,7.358822346,5.813364983,-216,-106.5
342,6307881.021,519588.5633,7.358822346,5.813364983,-498,-542.5
343,6307881.021,520813.5633,7.477543831,5.223338127,-693,-676
344,6307881.021,522038.5633,7.477543831,5.223338127,-740,-740
345,6307881.021,523263.5633,7.477543831,5.223338127,-757,-756.5
346,6307881.021,524488.5633,7.477543831,5.223338127,-718,-727.5
347,6307881.021,525713.5633,7.536188126,5.826029778,-630,-589
348,6307881.021,526938.5633,7.536188126,5.826029778,-333,-381.5
349,6307881.021,528163.5633,7.536188126,5.826029778,-221,-221
350,6307881.021,529388.5633,7.536188126,5.826029778,-189,-198.5
351,6307881.021,530613.5633,7.295269966,5.982833385,-238,-230.5
352,6307881.021,531838.5633,7.295269966,5.982833385,-265,-271
353,6307881.021,533063.5633,7.295269966,5.982833385,-296,-291.5
354,6307881.021,534288.5633,7.295269966,5.982833385,-310,-311
355,6307881.021,535513.5633,7.295269966,5.982833385,-303,-295.5
356,6307881.021,536738.5633,6.748994827,4.804764748,-224,-240
357,6307881.021,537963.5633,6.748994827,4.804764748,-172,-152
358,6307881.021,539188.5633,6.748994827,4.804764748,-80,-87.5
359,6308649.573,516342.3447,6.697955132,NA,15,17
360,6308447.399,517134.621,6.697955132,NA,10,-30.5
361,6308519.021,518363.5633,7.25372839,5.192373276,-303,-245
362,6308519.021,519588.5633,7.25372839,5.192373276,-541,-579.5
363,6308519.021,520813.5633,7.274085045,5.345247746,-704,-694.5
364,6308519.021,522038.5633,7.274085045,5.345247746,-739,-730
365,6308519.021,523263.5633,7.274085045,5.345247746,-740,-739
366,6308519.021,524488.5633,7.274085045,5.345247746,-678,-691
367,6308519.021,525713.5633,7.279105186,5.090938091,-551,-489.5
368,6308519.021,526938.5633,7.279105186,5.090938091,-212,-246.5
369,6308519.021,528163.5633,7.279105186,5.090938091,-149,-149
370,6308519.021,529388.5633,7.279105186,5.090938091,-148,-175
371,6308519.021,530613.5633,7.510865211,5.278384686,-240,-231
372,6308519.021,531838.5633,7.510865211,5.278384686,-271,-277
373,6308519.021,533063.5633,7.510865211,5.278384686,-306,-301
374,6308519.021,534288.5633,7.510865211,5.278384686,-325,-325
375,6308519.021,535513.5633,7.388669014,5.752024174,-325,-327
376,6308519.021,536738.5633,7.388669014,5.752024174,-277,-277
377,6308519.021,537963.5633,7.388669014,5.752024174,-252,-227
378,6308519.021,539188.5633,7.388669014,5.752024174,-130,-139.5
379,6308869.719,516304.7526,6.697955132,NA,15,17
380,6309159.995,517673.6294,6.697955132,NA,-123,-123
381,6309157.021,518363.5633,7.25372839,5.192373276,-357,-357
382,6309157.021,519588.5633,7.25372839,5.192373276,-586,-586
383,6309157.021,520813.5633,7.274085045,5.345247746,-702,-692
384,6309157.021,522038.5633,7.274085045,5.345247746,-722,-722
385,6309157.021,523263.5633,7.274085045,5.345247746,-704,-704
386,6309157.021,524488.5633,7.274085045,5.345247746,-614,-614
387,6309157.021,525713.5633,7.279105186,5.090938091,-442,-442
388,6309157.021,526938.5633,7.279105186,5.090938091,-122,-122
389,6309157.021,528163.5633,7.279105186,5.090938091,-124,-136.5
390,6309157.021,529388.5633,7.279105186,5.090938091,-167,-167
391,6309157.021,530613.5633,7.510865211,5.278384686,-250,-245
392,6309157.021,531838.5633,7.510865211,5.278384686,-271,-275
393,6309157.021,533063.5633,7.510865211,5.278384686,-306,-306
394,6309157.021,534288.5633,7.510865211,5.278384686,-325,-327
395,6309157.021,535513.5633,7.388669014,5.752024174,-325,-325
396,6309157.021,536738.5633,7.388669014,5.752024174,-277,-277
397,6309157.021,537963.5633,7.388669014,5.752024174,-252,-252
398,6309157.021,539188.5633,7.388669014,5.752024174,-130,-130
399,6309848.613,517472.3585,6.697955132,NA,-123,-123
400,6309795.021,518363.5633,7.25372839,5.192373276,-357,-299
401,6309795.021,519588.5633,7.25372839,5.192373276,-586,-586
402,6309795.021,520813.5633,7.274085045,5.345247746,-702,-692
403,6309795.021,522038.5633,7.274085045,5.345247746,-722,-722
404,6309795.021,523263.5633,7.274085045,5.345247746,-704,-693.5
405,6309795.021,524488.5633,7.274085045,5.345247746,-614,-631
406,6309795.021,525713.5633,7.279105186,5.090938091,-442,-369
407,6309795.021,526938.5633,7.279105186,5.090938091,-122,-132.5
408,6309795.021,528163.5633,7.279105186,5.090938091,-124,-124
409,6309795.021,529388.5633,7.279105186,5.090938091,-167,-198.5
410,6309795.021,530613.5633,7.510865211,5.278384686,-250,-244
411,6309795.021,531838.5633,7.510865211,5.278384686,-279,-285.5
412,6309795.021,533063.5633,7.510865211,5.278384686,-312,-307.5
413,6309795.021,534288.5633,7.510865211,5.278384686,-329,-332
414,6309795.021,535513.5633,7.388669014,5.752024174,-344,-341.5
415,6309795.021,536738.5633,7.388669014,5.752024174,-305,-313
416,6309795.021,537963.5633,7.388669014,5.752024174,-283,-272
417,6309795.021,539188.5633,7.388669014,5.752024174,-174,-191.5
418,6310438.725,517463.8713,6.697955132,NA,-164,-76.5
419,6310433.021,518363.5633,7.25372839,5.192373276,-399,-341
420,6310433.021,519588.5633,7.25372839,5.192373276,-604,-629
421,6310433.021,520813.5633,7.274085045,5.345247746,-701,-694
422,6310433.021,522038.5633,7.274085045,5.345247746,-709,-708.5
423,6310433.021,523263.5633,7.274085045,5.345247746,-668,-649
424,6310433.021,524488.5633,7.274085045,5.345247746,-532,-555.5
425,6310433.021,525713.5633,7.279105186,5.090938091,-332,-264
426,6310433.021,526938.5633,7.279105186,5.090938091,-64,-70
427,6310433.021,528163.5633,7.279105186,5.090938091,-108,-117.5
428,6310433.021,529388.5633,7.279105186,5.090938091,-159,-182
429,6310433.021,530613.5633,7.510865211,5.278384686,-256,-245
430,6310433.021,531838.5633,7.510865211,5.278384686,-291,-295.5
